Image Name, Predicted Digit, Confidence
WaterMeter_10208.jpg, 8, 96.03%
WaterMeter_10209.jpg, 8, 96.45%
WaterMeter_10210.jpg, 8, 95.75%
WaterMeter_10211.jpg, 8, 95.09%
WaterMeter_10212.jpg, 8, 95.08%
WaterMeter_10213.jpg, 8, 96.16%
WaterMeter_10214.jpg, 8, 94.92%
WaterMeter_10215.jpg, 8, 94.94%
WaterMeter_10216.jpg, 8, 96.52%
WaterMeter_10217.jpg, 8, 96.34%
WaterMeter_10218.jpg, 8, 94.45%
WaterMeter_10219.jpg, 8, 95.13%
WaterMeter_10220.jpg, 8, 95.47%
WaterMeter_10221.jpg, 8, 95.16%
WaterMeter_10222.jpg, 8, 96.49%
WaterMeter_10223.jpg, 8, 95.57%
WaterMeter_10224.jpg, 8, 96.61%
WaterMeter_10225.jpg, 8, 95.15%
WaterMeter_10226.jpg, 8, 94.62%
WaterMeter_10227.jpg, 8, 94.02%
WaterMeter_10228.jpg, 8, 95.92%
WaterMeter_10229.jpg, 8, 95.53%
WaterMeter_10230.jpg, 8, 95.31%
WaterMeter_10231.jpg, 8, 95.15%
WaterMeter_10232.jpg, 8, 96.60%
WaterMeter_10233.jpg, 8, 96.76%
WaterMeter_10234.jpg, 8, 96.39%
WaterMeter_10235.jpg, 8, 95.83%
WaterMeter_10236.jpg, 8, 95.44%
WaterMeter_10237.jpg, 8, 95.10%
WaterMeter_10238.jpg, 8, 95.51%
WaterMeter_10239.jpg, 8, 94.51%
WaterMeter_10240.jpg, 8, 95.86%
WaterMeter_10241.jpg, 8, 95.04%
WaterMeter_10242.jpg, 8, 94.55%
WaterMeter_10243.jpg, 8, 95.12%
WaterMeter_10244.jpg, 8, 94.95%
WaterMeter_10245.jpg, 8, 94.73%
WaterMeter_10246.jpg, 8, 94.64%
WaterMeter_10247.jpg, 8, 94.55%
WaterMeter_10248.jpg, 8, 95.07%
WaterMeter_10249.jpg, 8, 96.03%
WaterMeter_10250.jpg, 8, 94.83%
WaterMeter_10251.jpg, 8, 96.06%
WaterMeter_10252.jpg, 8, 94.24%
WaterMeter_10253.jpg, 8, 96.19%
WaterMeter_10254.jpg, 8, 95.02%
WaterMeter_10255.jpg, 8, 96.29%
WaterMeter_10256.jpg, 8, 93.84%
WaterMeter_10257.jpg, 8, 95.09%
WaterMeter_10258.jpg, 8, 95.65%
WaterMeter_10259.jpg, 8, 93.26%
WaterMeter_10260.jpg, 8, 95.96%
WaterMeter_10261.jpg, 8, 94.68%
WaterMeter_10262.jpg, 8, 94.74%
WaterMeter_10263.jpg, 8, 94.94%
WaterMeter_10264.jpg, 8, 96.33%
WaterMeter_10265.jpg, 8, 96.17%
WaterMeter_10266.jpg, 8, 96.73%
WaterMeter_10267.jpg, 8, 96.30%
WaterMeter_10268.jpg, 8, 96.94%
WaterMeter_10269.jpg, 8, 95.25%
WaterMeter_10270.jpg, 8, 96.07%
WaterMeter_10271.jpg, 8, 96.44%
WaterMeter_10272.jpg, 8, 95.58%
WaterMeter_10273.jpg, 8, 94.09%
WaterMeter_10274.jpg, 8, 94.17%
WaterMeter_10275.jpg, 8, 95.13%
WaterMeter_10276.jpg, 8, 94.09%
WaterMeter_10277.jpg, 8, 95.40%
WaterMeter_10278.jpg, 8, 94.81%
WaterMeter_10279.jpg, 8, 96.07%
WaterMeter_10280.jpg, 8, 94.53%
WaterMeter_10281.jpg, 8, 96.38%
WaterMeter_10282.jpg, 8, 95.41%
WaterMeter_10283.jpg, 8, 95.39%
WaterMeter_10284.jpg, 8, 95.13%
WaterMeter_10285.jpg, 8, 95.41%
WaterMeter_10286.jpg, 8, 95.44%
WaterMeter_10287.jpg, 8, 95.96%
WaterMeter_10288.jpg, 8, 95.01%
WaterMeter_10289.jpg, 8, 94.16%
WaterMeter_10290.jpg, 8, 96.25%
WaterMeter_10291.jpg, 8, 95.81%
WaterMeter_10292.jpg, 8, 95.28%
WaterMeter_10293.jpg, 8, 95.49%
WaterMeter_10294.jpg, 8, 96.63%
WaterMeter_10295.jpg, 8, 96.54%
WaterMeter_10296.jpg, 8, 95.61%
WaterMeter_10297.jpg, 8, 95.51%
WaterMeter_10298.jpg, 8, 95.17%
WaterMeter_10299.jpg, 8, 95.53%
WaterMeter_10300.jpg, 8, 94.79%
WaterMeter_10301.jpg, 8, 95.35%
WaterMeter_10302.jpg, 8, 94.92%
WaterMeter_10303.jpg, 8, 94.82%
WaterMeter_10304.jpg, 8, 96.39%
